evt,min,loc_err_h,loc_err_z,loc_err_resid,loc_num_st,loc_min_dist,loc_avg_dist,loc_stdev_dist,loc_azim_gap_1,loc_azim_gap_2,mag,mag_err,mag_num_st
22825691,13,3.25194,4.54907,0.97577,193,72.2256883,5546.1164457,3553.53270364,33.7635,42.7586,6.0904,0.1062,143
22825691,14,3.25194,4.54907,0.973406,196,72.2256883,5546.1164457,3553.53270364,33.7635,42.7586,6.09512,0.106,145
22825691,15,3.25194,4.54907,0.973296,197,72.2256883,5546.1164457,3553.53270364,33.7635,42.7586,6.09247,0.106,146
22825691,16,3.25194,4.54907,0.973296,197,72.2256883,5546.1164457,3553.53270364,33.7635,42.7586,6.09247,0.106,146
23192461,1,12.9373,14.5705,1.58678,23,3231.081329,6525.97749961,2344.33513241,108.489,115.667,5.79938,0.0208,2
23192461,2,12.9373,14.5705,1.58678,23,3231.081329,6525.97749961,2344.33513241,108.489,115.667,5.79938,0.0208,2
23192461,3,12.9373,14.5705,1.58678,23,3231.081329,6525.97749961,2344.33513241,108.489,115.667,5.79938,0.0208,2
23192461,4,12.9373,14.5705,1.58678,23,3231.081329,6525.97749961,2344.33513241,108.489,115.667,5.79938,0.0208,2
23192461,5,13.8932,12.9702,1.63358,28,3231.081329,8185.44603539,4174.07812059,93.3455,108.489,5.79938,0.0208,2
23192461,6,12.7755,13.7561,2.14721,51,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,7,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,8,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,9,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,10,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,11,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,12,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,13,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,14,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,15,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23192461,16,12.7755,13.7561,2.14687,53,3228.946481,11949.4216429,5197.08533813,42.7285,68.0291,5.79925,0.020795,2
23197631,1,21.0465,44.426,1.1063,10,1430.025709,2232.973175,380.400521659,130.853,180.231,5.61009,0.084745,6
23197631,2,17.9434,15.1203,1.008,17,1427.712957,2726.09166818,719.243526954,130.699,140.184,5.60081,0.099665,7
23197631,3,17.4671,14.6962,0.986166,20,1426.578819,3024.49753635,975.646301753,130.767,135.372,5.60098,0.09949,7
23197631,4,18.4252,16.8165,0.954123,21,1429.558711,3057.45231976,1084.79115676,130.489,135.141,5.60022,0.10009,7
23197631,5,18.0678,16.7144,1.04079,26,1430.581659,3538.9497605,1517.68896019,114.796,130.428,5.60007,0.100245,7
23197631,6,18.0678,16.7144,1.09097,26,1430.581659,3482.381848,1520.63040357,114.796,130.428,5.57018,0.116375,7
23197631,7,18.0937,16.7349,1.09414,27,1430.581659,3825.27533541,1902.77472527,97.8534,114.796,5.57018,0.116375,7
23197631,8,14.8037,16.5188,1.35102,35,1428.546882,5019.2211186,2829.37678006,96.2582,97.9184,5.5867,0.11154,8
23197631,9,14.8947,16.6004,1.44923,38,1428.546882,5384.40676616,2988.73814833,96.2582,97.9184,5.5867,0.11154,8
23197631,10,14.8947,16.6004,1.44923,38,1428.546882,5384.40676616,2988.73814833,96.2582,97.9184,5.5867,0.11154,8
23197631,11,14.8947,16.6004,1.44923,38,1428.546882,5384.40676616,2988.73814833,96.2582,97.9184,5.5867,0.11154,8
23197631,12,14.8947,16.6004,1.44923,38,1428.546882,5384.40676616,2988.73814833,96.2582,97.9184,5.5867,0.11154,8
23197631,13,14.7985,16.4487,1.45634,47,1427.401625,7067.40862621,4618.00450288,53.3663,55.9491,5.58654,0.11158,8
23197631,14,14.7985,16.4487,1.47388,50,1427.401625,7067.40862621,4618.00450288,53.3663,55.9491,5.58654,0.11158,8
23197631,15,14.7985,16.4487,1.47388,50,1427.401625,7067.40862621,4618.00450288,53.3663,55.9491,5.58654,0.11158,8
